8;101斑点狗;7.3;513619;1996年11月18日;1 0 1 ban dian gou;jie fu  dan ni er si,ge lun  ke luo si,si di fen  he rui ke;101真狗;爱犬一见钟情组新家庭;http://img.funshion.com/pictures/jupiter/000/008/8_m_poster.jpg?t=3470;http://img.funshion.com/pictures/jupiter/000/008/8_m_still.jpg?t=5771;杰夫·丹尼尔斯,格伦·克洛斯;斯蒂芬·赫瑞克;vipfree;1
15;2001太空漫游;6.5;423;1968年04月02日;2 0 0 1 tai kong man you;kai er  du la,jia li  luo ke wu de,wei lian mu  xi er wei si te,dan ni er  li xi te,si tan li  ku bu li ke;;开启太空科幻电影之路;http://img.funshion.com/pictures/jupiter/000/015/15_m_poster.jpg?t=4153;http://img.funshion.com/pictures/jupiter/000/015/15_m_still.jpg?t=5069;凯尔·杜拉,加里·洛克伍德,威廉姆·西尔维斯特, 丹尼尔·里希特;斯坦利·库布里克;free;1
18;21克;7.9;900;2003年09月05日;2 1 ke;xi en  pan,na ao mi  wo ci,ben ni xi ao  de er  tuo luo,xia luo te  gan si bu,mei li sha  li ao,ya li sang de luo  gang sa lei si  yi na li duo;;人死后灵魂的重量21克;http://img.funshion.com/pictures/jupiter/000/018/18_m_poster.jpg?t=8129;http://img.funshion.com/pictures/jupiter/000/018/18_m_still.jpg?t=2329;西恩·潘,娜奥米·沃茨,本尼西奥·德尔·托罗,夏洛特·甘斯布,梅丽莎·里奥;亚利桑德罗·冈萨雷斯·伊纳里多;vipfree;1
25;A计划;6.9;2148;1983年12月22日;a ji hua;cheng long,hong jin bao,yuan biao,huang man ning,di wei,cheng long;Project A;成龙经典功夫喜剧力作;http://img.funshion.com/pictures/jupiter/000/025/25_m_poster.jpg?t=5975;http://img.funshion.com/pictures/jupiter/000/025/25_m_still.jpg?t=1578;成龙,洪金宝,元彪,黄曼凝,狄威;成龙;free;1
26;A计划续集;6.9;535;1988年06月23日;a ji hua xu ji;cheng long,zhang man yu,guan zhi lin,liu jia ling,cheng long;;成龙A计划继续来耍宝;http://img.funshion.com/pictures/jupiter/000/026/26_m_poster.jpg?t=2506;http://img.funshion.com/pictures/jupiter/000/026/26_m_still.jpg?t=4077;成龙,张曼玉,关之琳,刘嘉玲;成龙;free;1
27;BJ单身日记;6.8;69737;2001年04月04日;b j dan shen ri ji;lei ni qi wei ge,ke lin fei er si,xiu ge lan te,ji mu bu lao de ben te,xue li heng de sen,sha lang ma kui er;布雷吉特·琼斯的日记;BJ的单身日记;http://img.funshion.com/pictures/jupiter/000/027/27_m_poster.jpg?t=7861;http://img.funshion.com/pictures/media/list/27/27_530_298_ott_still.jpg?1432695713;蕾妮·齐薇格,科林·费尔斯,休·格兰特,吉姆·布劳德本特,雪莉·亨德森;沙朗·马奎尔;vipfree;1
36;K星异客;6.9;324;2001年10月26日;k xing yi ke;kai wen  shi pai xi,jie fu  bu li ji si,ma li  mai ke ke ma ke,a er fa  wu da de,da wei  pa te li ke  kai li;奇迹从心开始;外星来客被当作精神病;http://img.funshion.com/pictures/jupiter/000/036/36_m_poster.jpg?t=3523;http://img.funshion.com/pictures/jupiter/000/036/36_m_still.jpg?t=9002;凯文·史派西,杰夫·布里吉斯,玛丽·麦克科马克,阿尔法·伍达德,大卫·帕特里克·凯利;伊恩·索夫特雷;free;1
39;黑衣人;6.7;79758;1997年07月02日;hei yi ren;wei er  shi mi si,tang mi  li  qiong si,lin da  fei ao lun di nuo,wen sen te  duo nuo fei ao,ba li  suo nan fei er de;MIB星际战警,黑超特警组,MIB;怪世界里的搞笑黑衣人;http://img.funshion.com/pictures/jupiter/000/039/39_m_poster.jpg?t=5931;http://img.funshion.com/pictures/jupiter/000/039/39_m_still.jpg?t=4005;威尔·史密斯,汤米·李·琼斯,琳达·费奥伦蒂诺,文森特·多诺费奥;巴里·索南菲尔德;vipfree;1
40;非常小特务2;9.1;65443;2002年08月07日;fei chang xiao te wu 2;ai lun  ka ming,ka la  gu qi nuo,a li xia  wei jia,luo bo te  luo de li ge zi;特工神童 ,小鬼大间谍;小孩变特工体验冒险;http://img.funshion.com/pictures/jupiter/000/040/40_m_poster.jpg?t=2584;http://img.funshion.com/pictures/media/list/40/40_530_298_ott_still.jpg?1430972158;艾伦·卡明,卡拉·古奇诺,阿丽夏·维加,Mike Judge;罗伯特·罗德里格兹;free;1
42;不准掉头;7.6;62278;1997年10月03日;bu zhun diao tou;xi en  pan,ni ke  nuo er di,zhan ni fu  luo pei zi,ao li fu  si tong;U形转弯,上错惊魂路;赌徒的非典型艳遇;http://img.funshion.com/pictures/jupiter/000/042/42_m_poster.jpg?t=9567;http://img.funshion.com/pictures/jupiter/000/042/42_m_still.jpg?t=3995;西恩·潘,尼克·诺尔蒂,詹妮弗·洛佩兹;奥利弗·斯通;free;1
43;X档案：征服未来;7.8;63536;1998年06月19日;x dang an  zheng fu wei lai;ji lian  an de sen,da wei  du chu ni,luo bo  bao man;;美国经典动作科幻大片;http://img.funshion.com/pictures/jupiter/000/043/43_m_poster.jpg?t=7763;http://img.funshion.com/pictures/media/list/43/43_530_298_ott_still.jpg?1436773883;吉莲·安德森,大卫·杜楚尼, 约翰·内威尔,威廉·B·戴维斯, 米彻·佩勒吉;罗波·鲍曼;free;1
45;X战警;6.8;374;2000年07月13日;x zhan jing;xiu  jie ke man,pa te li ke  si tu er te,yi en  mai ke lai en,bu lai en  xin ge;;变种人大战黑暗恶势力;http://img.funshion.com/pictures/jupiter/000/045/45_m_poster.jpg?t=8582;http://img.funshion.com/pictures/jupiter/000/045/45_m_still.jpg?t=8015;休·杰克曼, 帕特里克·斯图尔特,伊恩·麦克莱恩;布莱恩·辛格;vipfree;1
46;X战警2;6.9;602;2003年05月02日;x zhan jing 2;pa te li ke  si tu er te,xiu  jie ke man,yi en  mai ke lai en,ha li  bei rui,fa mi ke  zhan sen,bu lai en  xin ge;;超级变种人类炫酷归来;http://img.funshion.com/pictures/jupiter/000/046/46_m_poster.jpg?t=1007;http://img.funshion.com/pictures/jupiter/000/046/46_m_still.jpg?t=4167;帕特里克·斯图尔特,休·杰克曼,伊恩·麦克莱恩,哈莉·贝瑞,法米克·詹森;布莱恩·辛格;vipfree;1
48;阿波罗13号;6.5;653;1995年10月12日;a bo luo 1 3 hao;tang mu  han ke si,bi er  pa ke si dun,kai wen  bei ken,ai de  ha li si,jia li  xi ni si,lang  huo hua de;;汤姆汉克斯演绎登月球;http://img.funshion.com/pictures/jupiter/000/048/48_m_poster.jpg?t=4577;http://img.funshion.com/pictures/jupiter/000/048/48_m_still.jpg?t=8742;汤姆·汉克斯,比尔·帕克斯顿,凯文·贝肯,艾德·哈里斯,加里·西尼斯;朗·霍华德;free;1
50;阿呆与阿瓜;7.3;951;1994年12月16日;a dai yu a gua;jin  kai rui,jie fu  dan ni er si,luo lun  he li,mai ke  si ta er,kai lun  da fei,zha er si  luo ji te,wei duo li ya  luo wei er,te rui  jia er,fei er dun  pai rui,luo bu  mo lan,bi de  fa la li,bao bi  fa la li;Dumb Happens / Dumb and Dumber,M;搞笑的一对儿呆瓜活宝;http://img.funshion.com/pictures/jupiter/000/050/50_m_poster.jpg?t=6699;http://img.funshion.com/pictures/jupiter/000/050/50_m_still.jpg?t=3335;金·凯瑞,杰夫·丹尼尔斯,罗伦·荷莉,迈克·斯塔尔,凯伦·达菲,查尔斯·罗基特,维多利亚·洛威尔,特瑞·加尔,菲尔顿·派瑞,罗布·莫兰,Joe Baker,Hank Brandt,Brady Bluhm,Cam Neely,Brad Lockerman;彼得·法拉利,鲍比·法拉利;free;1
55;阿甘正传;9;813;1994年06月23日;a gan zheng chuan;tang mu  han ke si,luo bin  huai te,jia li  xi ni si,fu lei si te  gang pu;福雷斯特·冈普;汉克斯经典励志人生;http://img.funshion.com/pictures/jupiter/000/055/55_m_poster.jpg?t=8463;http://img.funshion.com/pictures/jupiter/000/055/55_m_still.jpg?t=8097;汤姆·汉克斯,罗宾·怀特,加里·西尼斯;福雷斯特·冈普;vipfree;1
59;情归阿拉巴马;6.5;411;2002年09月20日;qing gui a la ba ma;rui qian  wei se si peng,qiao shen  lu ka si,an di  tan na te;;高富帅和矮穷挫争女神;http://img.funshion.com/pictures/jupiter/000/059/59_m_poster.jpg?t=4501;http://img.funshion.com/pictures/jupiter/000/059/59_m_still.jpg?t=7764;瑞茜·威瑟斯彭,乔什·卢卡斯;安迪·坦纳特;vipfree;1
63;阿郎的故事;6.5;91083;1989年03月16日;a lang de gu shi;zhou run fa,zhang ai jia,huang kun xuan,wu meng da,du qi feng;又见阿郎(台);演绎赛车手的浪子情深;http://img.funshion.com/pictures/jupiter/000/063/63_m_poster.jpg?t=2743;http://img.funshion.com/pictures/jupiter/000/063/63_m_still.jpg?t=9711;周润发,张艾嘉,黄坤玄,吴孟达;杜琪峰;free;1
82;激情妒火线;6.6;775;1999年12月03日;ai dao jin tou;la er fu  fei yin si,zhu li an  mo er,si di fen  rui,ni er  qiao dan;爱到尽头;婚外情也可以悲情感人;http://img.funshion.com/pictures/jupiter/000/082/82_m_poster.jpg?t=7329;http://img.funshion.com/pictures/jupiter/000/082/82_m_still.jpg?t=1392;拉尔夫·费因斯,朱丽安·摩尔,斯蒂芬·瑞;尼尔·乔丹;free;1
